1,2,3,4,5,6,7,8,9,10
15.8,14.9,18.0,23.6,23.4,28.4,27.0,21.0,20.3,20.2
8.5,16.0,13.4,22.9,26.3,25.6,25.8,18.8,20.0,19.2
14.4,12.0,17.4,23.1,23.5,27.4,24.4,18.5,18.0,18.1
18.3,9.2,16.8,22.1,22.8,23.6,24.3,17.3,17.1,17.0
18.4,13.3,13.4,18.1,21.7,23.2,22.6,16.2,16.2,16.0
18.8,10.0,20.3,20.8,20.4,22.3,22.5,16.4,15.5,15.0
11.7,12.2,13.7,19.4,21.5,20.6,20.8,15.0,14.0,14.0
16.3,15.9,18.1,18.6,18.8,19.6,19.4,13.0,13.0,13.0
10.5,19.7,13.5,18.8,16.4,17.9,17.7,12.3,12.2,12.0
12.2,14.0,16.1,16.3,15.6,16.9,16.6,11.1,11.0,11.0
11.3,9.7,12.5,14.6,14.8,14.8,14.7,10.5,10.1,10.0
12.4,15.1,10.9,14.4,13.3,13.5,13.5,9.1,9.1,9.0
12.2,9.2,12.3,11.7,13.0,12.1,12.5,8.0,8.0,8.0
12.1,10.6,10.2,10.4,10.2,11.0,10.5,7.0,7.0,7.0
11.1,11.5,9.1,9.0,9.6,9.3,6.0,6.1,6.0,6.0
15.8,11.1,8.9,8.0,7.1,7.9,7.8,5.0,5.0,5.0
13.3,11.5,8.4,7.2,6.6,6.3,6.0,6.2,4.0,4.0
18.9,8.7,5.7,6.1,4.9,5.0,3.0,3.0,3.0,3.0
12.2,12.7,10.9,4.4,4.9,3.4,3.3,2.0,2.0,2.0
17.6,11.3,7.2,4.4,3.3,1.9,1.7,1.0,1.0,1.0
